"","nlc2022_7class","T_MAPCODE","n"
"1056","3","FFh4",6486
"1057","4","FFh4",7450
"1058","5","FFh4",173761
"1059","6","FFh4",250
"1060","7","FFh4",10278
"1061","8","FFh4",97684
"1062","NaN","FFh4",0
"1063","1","FFh5",63283
"1064","2","FFh5",41681
"1065","3","FFh5",2144
"1066","4","FFh5",23336
"1067","5","FFh5",27664
"1068","6","FFh5",3
"1069","7","FFh5",25676
"1070","8","FFh5",26224
"1071","NaN","FFh5",0
"1072","1","FFh6",107328
"1073","2","FFh6",103231
"1074","3","FFh6",85209
"1075","4","FFh6",16554
"1076","5","FFh6",288371
"1077","6","FFh6",191
"1078","7","FFh6",37403
"1079","8","FFh6",60442
"1080","NaN","FFh6",0
"1081","1","FFh7",313101
"1082","2","FFh7",49425
"1083","3","FFh7",1734
"1084","4","FFh7",10497
"1085","5","FFh7",229143
"1086","6","FFh7",8
"1087","7","FFh7",5298
"1088","8","FFh7",57339
"1089","NaN","FFh7",0
"1090","1","FFh8",349723
"1091","2","FFh8",60045
"1092","3","FFh8",1083
"1093","4","FFh8",1610
"1094","5","FFh8",37350
"1095","6","FFh8",16
"1096","7","FFh8",5707
"1097","8","FFh8",11385
"1098","NaN","FFh8",0
"1099","1","FFh9",274704
"1100","2","FFh9",153367
"1101","3","FFh9",6374
"1102","4","FFh9",94665
"1103","5","FFh9",334359
"1104","6","FFh9",181
"1105","7","FFh9",210735
