"","...1","LC","T_MAPCODE","n","km2","mapwaps"
"460",6069,5,"Gs4",6239,2.4956,8
"461",6071,7,"Gs4",78530,31.412,8
"462",6073,1,"Gs6",22114,8.8456,8
"463",6074,2,"Gs6",3778,1.5112,8
"464",6075,3,"Gs6",892,0.3568,8
"465",6076,4,"Gs6",191,0.0764,8
"466",6077,5,"Gs6",4041,1.6164,8
"467",6079,7,"Gs6",2567,1.0268,8
"468",6097,1,"Gs9",21683,8.6732,8
"469",6098,2,"Gs9",10241,4.0964,8
"470",6100,4,"Gs9",2917,1.1668,8
"471",6101,5,"Gs9",3220,1.288,8
"472",6103,7,"Gs9",27404,10.9616,8
"473",6825,1,"SVcb20",27370,10.948,8
"474",6826,2,"SVcb20",10688,4.2752,8
"475",6827,3,"SVcb20",103,0.0412,8
"476",6828,4,"SVcb20",5278,2.1112,8
"477",6829,5,"SVcb20",4535,1.814,8
"478",6831,7,"SVcb20",5898,2.3592,8
"479",6833,1,"SVcb21",324652,129.8608,8
"480",6834,2,"SVcb21",71658,28.6632,8
"481",6835,3,"SVcb21",141,0.0564,8
"482",6836,4,"SVcb21",44105,17.642,8
"483",6837,5,"SVcb21",25339,10.1356,8
"484",6839,7,"SVcb21",332714,133.0856,8
"485",6841,1,"SVcb22",150,0.06,8
"486",6842,2,"SVcb22",10,0.004,8
"487",7137,1,"SVl1",60013,24.0052,8
"488",7138,2,"SVl1",11786,4.7144,8
"489",7139,3,"SVl1",23,0.0092,8
"490",7140,4,"SVl1",9201,3.6804,8
"491",7141,5,"SVl1",817,0.3268,8
"492",7143,7,"SVl1",69,0.0276,8
"493",7145,1,"SVl10",10566,4.2264,8
"494",7146,2,"SVl10",3749,1.4996,8
"495",7147,3,"SVl10",196,0.0784,8
"496",7148,4,"SVl10",3157,1.2628,8
"497",7149,5,"SVl10",3987,1.5948,8
"498",7150,6,"SVl10",16,0.0064,8
"499",7151,7,"SVl10",1366,0.5464,8
"500",7153,1,"SVl11",514,0.2056,8
"501",7156,4,"SVl11",11,0.0044,8
"502",7169,1,"SVl13",1785,0.714,8
"503",7170,2,"SVl13",1313,0.5252,8
"504",7172,4,"SVl13",11,0.0044,8
"505",7173,5,"SVl13",30,0.012,8
"506",7175,7,"SVl13",12779,5.1116,8
"507",7289,1,"SVl27",40137,16.0548,8
"508",7290,2,"SVl27",5570,2.228,8
"509",7291,3,"SVl27",83,0.0332,8
"510",7292,4,"SVl27",4102,1.6408,8
"511",7293,5,"SVl27",2753,1.1012,8
"512",7295,7,"SVl27",3275,1.31,8
"513",7297,1,"SVl3",15627,6.2508,8
"514",7298,2,"SVl3",7300,2.92,8
"515",7299,3,"SVl3",474,0.1896,8
