"","T_MAPCODE","prpinv_niaps","D3_niaps","B1i_niaps","B2i_niaps","prpinv_cfs_iat","D3_cfr_iat","B1i_cfr_iat","B2i_cfr_iat","prpinv_mapwaps","D1_mapwaps","B1i_mapwaps","B2i_mapwaps","prpinv_umgeni","D1_um","B1i_um","B2i_um","prpinv_max","D3_inv","B1i_inv","B2i_inv"
"282","Gs6",0.0223087914308591,1,1,1,NA,0,0,0,0.00267755381957036,1,1,1,NA,0,0,0,0.0223087914308591,1,1,1
"283","Gs7",0.00541060643140988,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00541060643140988,1,1,1
"284","Gs8",0.0285563553771646,1,1,1,NA,0,0,0,NA,0,0,0,0.00133008063643902,1,1,1,0.0285563553771646,1,1,1
"285","Gs9",0.0795059951620492,1,1,1,NA,0,0,0,0.0042936021506228,1,1,1,0.00412964409220304,1,1,1,0.0795059951620492,1,1,1
"286","NKb1",0.00295059775739735,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00295059775739735,1,1,1
"287","NKb2",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"288","NKb3",0.00474945310111421,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00474945310111421,1,1,1
"289","NKb4",0.00159636346096751,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00159636346096751,1,1,1
"290","NKb5",0.00159077058103039,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00159077058103039,1,1,1
"291","NKb6",0.00312856734545929,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00312856734545929,1,1,1
"292","NKl1",0.0000694405133010862,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000694405133010862,1,1,1
"293","NKl2",0.00104361789758885,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00104361789758885,1,1,1
"294","NKl4",0.000604204136690648,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000604204136690648,1,1,1
"295","NKu1",0.000701702646895664,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000701702646895664,1,1,1
"296","NKu2",0.00129040956947098,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00129040956947098,1,1,1
"297","NKu3",0.00650962004537139,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00650962004537139,1,1,1
"298","NKu4",0.0011716436384864,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0011716436384864,1,1,1
"299","SKk1",0.00280817110117887,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00280817110117887,1,1,1
"300","SKk3",0.000184165805891704,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000184165805891704,1,1,1
"301","SKk4",0.00158346304225032,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00158346304225032,1,1,1
"302","SKk5",0.00680964542182077,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00680964542182077,1,1,1
"303","SKk6",0.00278440173937439,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00278440173937439,1,1,1
"304","SKk7",0.0226254993840802,1,1,1,0.000225429691917849,1,1,1,NA,0,0,0,NA,0,0,0,0.0226254993840802,1,1,1
"305","SKk8",0.000633312222925903,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000633312222925903,1,1,1
"306","SKk9",0.00035371269971218,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00035371269971218,1,1,1
"307","SKn1",0.0000491963720862727,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000491963720862727,1,1,1
"308","SKn2",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"309","SKn3",0.0000765126820116332,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000765126820116332,1,1,1
"310","SKn4",0.0000380680798713718,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000380680798713718,1,1,1
"311","SKn5",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"312","SKn6",0.000422982023264011,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000422982023264011,1,1,1
"313","SKr13",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"314","SKr15",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"315","SKr18",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"316","SKr19",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"317","SKr2",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"318","SKr4",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"319","SKs12",0.000211558258799974,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000211558258799974,1,1,1
"320","SKs13",0.0168764354956228,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0168764354956228,1,1,1
"321","SKs14",0.00039812774372747,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00039812774372747,1,1,1
"322","SKs2",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"323","SKs4",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"324","SKs5",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"325","SKs7",0.000305825423131993,1,1,1,0.000000905507818233242,1,1,1,NA,0,0,0,NA,0,0,0,0.000305825423131993,1,1,1
"326","SKs8",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"327","SKs9",0.000187625064538501,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000187625064538501,1,1,1
"328","SKt1",0.000655295060417415,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000655295060417415,1,1,1
"329","SKt2",0.00247249537596763,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00247249537596763,1,1,1
"330","SKt3",0.00132207043490695,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00132207043490695,1,1,1
"331","SKv1",0.00544217808556765,1,1,1,0.0000174113983049334,1,1,1,NA,0,0,0,NA,0,0,0,0.00544217808556765,1,1,1
"332","SKv10",0.000236889743734797,1,1,1,0.0000198881314702721,1,1,1,NA,0,0,0,NA,0,0,0,0.000236889743734797,1,1,1
"333","SKv11",0.00113733469864136,1,1,1,0.000101594693411902,1,1,1,NA,0,0,0,NA,0,0,0,0.00113733469864136,1,1,1
"334","SKv13",0.000680358699872075,1,1,1,0.00000222755420912279,1,1,1,NA,0,0,0,NA,0,0,0,0.000680358699872075,1,1,1
"335","SKv14",0.000620868675355361,1,1,1,0.0000111797960805195,1,1,1,NA,0,0,0,NA,0,0,0,0.000620868675355361,1,1,1
"336","SKv2",0.000539172574710581,1,1,1,0.000000538454635196985,1,1,1,NA,0,0,0,NA,0,0,0,0.000539172574710581,1,1,1
"337","SKv3",0.000784504464277804,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000784504464277804,1,1,1
"338","SKv4",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"339","SKv5",0.00184661036596381,1,1,1,0.0000000866573504237804,1,1,1,NA,0,0,0,NA,0,0,0,0.00184661036596381,1,1,1
"340","SKv6",0.0000777776437275667,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000777776437275667,1,1,1
