"","nlc2022_7class","T_MAPCODE","niaps_arc","n"
"521","1","CB4","0",1492775
"522","2","CB4","0",455261
"523","3","CB4","0",2649
"524","4","CB4","0",296388
"525","5","CB4","0",602007
"526","6","CB4","0",4063
"527","7","CB4","0",168948
"528","NaN","CB4","0",0
"529","1","CB5","0",2116341
"530","2","CB5","0",595847
"531","3","CB5","0",913
"532","4","CB5","0",872747
"533","5","CB5","0",336875
"534","6","CB5","0",1104
"535","7","CB5","0",29156
"536","NaN","CB5","0",0
"537","1","CB6","0",382134
"538","2","CB6","0",295604
"539","3","CB6","0",827
"540","4","CB6","0",842994
"541","5","CB6","0",246107
"542","6","CB6","0",5247
"543","7","CB6","0",10741
"544","NaN","CB6","0",0
"545","1","Dg1","0",832223
"546","2","Dg1","0",171
"547","3","Dg1","0",33
"548","4","Dg1","0",0
"549","5","Dg1","0",0
"550","6","Dg1","0",7385
"551","7","Dg1","0",0
"552","NaN","Dg1","0",0
"553","1","Dg10","0",5209144
"554","2","Dg10","0",7355
"555","3","Dg10","0",171
"556","4","Dg10","0",5150
"557","5","Dg10","0",3146
"558","6","Dg10","0",10121
"559","7","Dg10","0",1
"560","NaN","Dg10","0",0
"561","1","Dg2","0",903471
"562","2","Dg2","0",44
"563","3","Dg2","0",48
"564","4","Dg2","0",0
"565","5","Dg2","0",0
"566","6","Dg2","0",0
"567","7","Dg2","0",0
"568","NaN","Dg2","0",0
"569","1","Dg3","0",391160
"570","2","Dg3","0",136
"571","3","Dg3","0",1
"572","4","Dg3","0",17
"573","5","Dg3","0",0
"574","6","Dg3","0",8845
"575","7","Dg3","0",0
"576","NaN","Dg3","0",0
"577","1","Dg4","0",267982
"578","2","Dg4","0",141
"579","3","Dg4","0",183
"580","4","Dg4","0",0
"581","5","Dg4","0",0
"582","6","Dg4","0",1193
"583","7","Dg4","0",0
"584","NaN","Dg4","0",0
"585","1","Dg5","0",1479774
"586","2","Dg5","0",157
"587","3","Dg5","0",237
"588","4","Dg5","0",485
"589","5","Dg5","0",0
"590","6","Dg5","0",0
"591","7","Dg5","0",0
"592","NaN","Dg5","0",0
"593","1","Dg6","0",20267
"594","2","Dg6","0",17
"595","3","Dg6","0",0
"596","4","Dg6","0",275
"597","5","Dg6","0",0
"598","6","Dg6","0",0
"599","7","Dg6","0",0
"600","NaN","Dg6","0",0
"601","1","Dg7","0",609437
"602","2","Dg7","0",731
"603","3","Dg7","0",34
"604","4","Dg7","0",3269
"605","5","Dg7","0",1072
"606","6","Dg7","0",2137
"607","7","Dg7","0",0
"608","NaN","Dg7","0",0
"609","1","Dg8","0",857309
"610","2","Dg8","0",70
"611","3","Dg8","0",16
"612","4","Dg8","0",482
"613","5","Dg8","0",0
"614","6","Dg8","0",119
"615","7","Dg8","0",0
"616","NaN","Dg8","0",0
"617","1","Dg9","0",2994754
"618","2","Dg9","0",18307
"619","3","Dg9","0",38
"620","4","Dg9","0",18773
"621","5","Dg9","0",10237
"622","6","Dg9","0",1597
"623","7","Dg9","0",149
"624","NaN","Dg9","0",0
"625","1","Dn1","0",3383
"626","2","Dn1","0",1310
"627","3","Dn1","0",39
"628","4","Dn1","0",1366
"629","5","Dn1","0",0
"630","6","Dn1","0",36634
"631","7","Dn1","0",0
"632","NaN","Dn1","0",0
"633","1","Dn2","0",2525
"634","2","Dn2","0",230
"635","3","Dn2","0",0
"636","4","Dn2","0",0
"637","5","Dn2","0",0
"638","6","Dn2","0",1102
"639","7","Dn2","0",0
"640","NaN","Dn2","0",0
"641","1","Dn3","0",306486
"642","2","Dn3","0",10422
"643","3","Dn3","0",31
"644","4","Dn3","0",6343
"645","5","Dn3","0",0
"646","6","Dn3","0",26514
"647","7","Dn3","0",0
"648","NaN","Dn3","0",0
"649","1","Dn4","0",486745
"650","2","Dn4","0",6036
"651","3","Dn4","0",227
"652","4","Dn4","0",3818
"653","5","Dn4","0",2587
"654","6","Dn4","0",42814
"655","7","Dn4","0",0
"656","NaN","Dn4","0",0
"657","1","Dn5","0",960818
"658","2","Dn5","0",6643
"659","3","Dn5","0",279
"660","4","Dn5","0",4194
"661","5","Dn5","0",0
"662","6","Dn5","0",73544
"663","7","Dn5","0",0
"664","NaN","Dn5","0",0
"665","1","FFa1","0",120804
"666","2","FFa1","0",53322
"667","3","FFa1","0",19270
"668","4","FFa1","0",2378
"669","5","FFa1","0",238417
"670","6","FFa1","0",23
"671","7","FFa1","0",213
"672","NaN","FFa1","0",0
"673","1","FFa2","0",337443
"674","2","FFa2","0",145513
"675","3","FFa2","0",11414
"676","4","FFa2","0",47771
"677","5","FFa2","0",585565
"678","6","FFa2","0",639
"679","7","FFa2","0",8375
"680","NaN","FFa2","0",0
