"","LC","T_MAPCODE","n","km2","um"
"560",3,"AZi8",3565,1.426,99
"561",4,"AZi8",26296,10.5184,99
"562",5,"AZi8",525366,210.1464,99
"563",6,"AZi8",255,0.102,99
"564",7,"AZi8",3102,1.2408,99
"565",1,"AZs3",29930,11.972,99
"566",2,"AZs3",1454,0.5816,99
"567",3,"AZs3",10,0.004,99
"568",4,"AZs3",821,0.3284,99
"569",5,"AZs3",2,8e-04,99
"570",7,"AZs3",199,0.0796,99
"571",1,"CB1",2081370,832.548,99
"572",2,"CB1",596282,238.5128,99
"573",3,"CB1",9071,3.6284,99
"574",4,"CB1",1008839,403.5356,99
"575",5,"CB1",494907,197.9628,99
"576",6,"CB1",29950,11.98,99
"577",7,"CB1",1668935,667.574,99
"578",NA,"CB1",110,0.044,99
"579",1,"CB2",1002629,401.0516,99
"580",2,"CB2",243413,97.3652,99
"581",3,"CB2",309,0.1236,99
"582",4,"CB2",269569,107.8276,99
"583",5,"CB2",27295,10.918,99
"584",6,"CB2",2595,1.038,99
"585",7,"CB2",1259565,503.826,99
"586",1,"CB3",1642339,656.9356,99
"587",2,"CB3",1336803,534.7212,99
"588",3,"CB3",21761,8.7044,99
"589",4,"CB3",3104077,1241.6308,99
"590",5,"CB3",3656728,1462.6912,99
"591",6,"CB3",12366,4.9464,99
"592",7,"CB3",170193,68.0772,99
"593",1,"CB4",1602726,641.0904,99
"594",2,"CB4",510854,204.3416,99
"595",3,"CB4",2819,1.1276,99
"596",4,"CB4",298141,119.2564,99
"597",5,"CB4",604539,241.8156,99
"598",6,"CB4",4069,1.6276,99
"599",7,"CB4",226608,90.6432,99
"600",1,"CB5",2248083,899.2332,99
"601",2,"CB5",630462,252.1848,99
"602",3,"CB5",915,0.366,99
"603",4,"CB5",873690,349.476,99
"604",5,"CB5",337515,135.006,99
"605",6,"CB5",1107,0.4428,99
"606",7,"CB5",34193,13.6772,99
"607",1,"CB6",1000107,400.0428,99
"608",2,"CB6",642053,256.8212,99
"609",3,"CB6",763,0.3052,99
"610",4,"CB6",692733,277.0932,99
"611",5,"CB6",248387,99.3548,99
"612",6,"CB6",5050,2.02,99
"613",7,"CB6",15035,6.014,99
"614",1,"Dg1",832244,332.8976,99
"615",2,"Dg1",171,0.0684,99
"616",3,"Dg1",33,0.0132,99
"617",6,"Dg1",7385,2.954,99
"618",1,"Dg10",5210699,2084.2796,99
"619",2,"Dg10",7387,2.9548,99
"620",3,"Dg10",174,0.0696,99
"621",4,"Dg10",5155,2.062,99
"622",5,"Dg10",3168,1.2672,99
"623",6,"Dg10",10121,4.0484,99
"624",7,"Dg10",1,4e-04,99
"625",1,"Dg2",903483,361.3932,99
"626",2,"Dg2",44,0.0176,99
"627",3,"Dg2",48,0.0192,99
"628",1,"Dg3",391172,156.4688,99
"629",2,"Dg3",136,0.0544,99
"630",3,"Dg3",1,4e-04,99
"631",4,"Dg3",17,0.0068,99
"632",6,"Dg3",8845,3.538,99
"633",1,"Dg4",267982,107.1928,99
"634",2,"Dg4",141,0.0564,99
"635",3,"Dg4",183,0.0732,99
"636",6,"Dg4",1193,0.4772,99
"637",1,"Dg5",1479836,591.9344,99
"638",2,"Dg5",157,0.0628,99
"639",3,"Dg5",237,0.0948,99
"640",4,"Dg5",485,0.194,99
"641",1,"Dg6",20267,8.1068,99
"642",2,"Dg6",17,0.0068,99
"643",4,"Dg6",275,0.11,99
"644",1,"Dg7",610113,244.0452,99
"645",2,"Dg7",791,0.3164,99
"646",3,"Dg7",34,0.0136,99
"647",4,"Dg7",3292,1.3168,99
"648",5,"Dg7",1144,0.4576,99
"649",6,"Dg7",2138,0.8552,99
"650",1,"Dg8",857311,342.9244,99
"651",2,"Dg8",70,0.028,99
"652",3,"Dg8",16,0.0064,99
"653",4,"Dg8",482,0.1928,99
"654",6,"Dg8",119,0.0476,99
"655",1,"Dg9",2995652,1198.2608,99
"656",2,"Dg9",18413,7.3652,99
"657",3,"Dg9",38,0.0152,99
"658",4,"Dg9",18783,7.5132,99
"659",5,"Dg9",10238,4.0952,99
"660",6,"Dg9",1597,0.6388,99
"661",7,"Dg9",254,0.1016,99
"662",1,"Dn1",3383,1.3532,99
"663",2,"Dn1",1310,0.524,99
"664",3,"Dn1",39,0.0156,99
"665",4,"Dn1",1366,0.5464,99
"666",6,"Dn1",36634,14.6536,99
"667",1,"Dn2",2525,1.01,99
"668",2,"Dn2",230,0.092,99
"669",6,"Dn2",1102,0.4408,99
"670",1,"Dn3",306496,122.5984,99
"671",2,"Dn3",10422,4.1688,99
"672",3,"Dn3",31,0.0124,99
