"","LC","T_MAPCODE","niaps_arc","n","km2"
"431",3,"CB4",0,2649,1.0596
"432",4,"CB4",0,296388,118.5552
"433",5,"CB4",0,602007,240.8028
"434",6,"CB4",0,4063,1.6252
"435",7,"CB4",0,168948,67.5792
"436",1,"CB5",0,2116341,846.5364
"437",2,"CB5",0,595847,238.3388
"438",3,"CB5",0,913,0.3652
"439",4,"CB5",0,872747,349.0988
"440",5,"CB5",0,336875,134.75
"441",6,"CB5",0,1104,0.4416
"442",7,"CB5",0,29156,11.6624
"443",1,"CB6",0,382134,152.8536
"444",2,"CB6",0,295604,118.2416
"445",3,"CB6",0,827,0.3308
"446",4,"CB6",0,842994,337.1976
"447",5,"CB6",0,246107,98.4428
"448",6,"CB6",0,5247,2.0988
"449",7,"CB6",0,10741,4.2964
"450",1,"Dg1",0,832223,332.8892
"451",2,"Dg1",0,171,0.0684
"452",3,"Dg1",0,33,0.0132
"453",6,"Dg1",0,7385,2.954
"454",1,"Dg10",0,5209144,2083.6576
"455",2,"Dg10",0,7355,2.942
"456",3,"Dg10",0,171,0.0684
"457",4,"Dg10",0,5150,2.06
"458",5,"Dg10",0,3146,1.2584
"459",6,"Dg10",0,10121,4.0484
"460",7,"Dg10",0,1,4e-04
"461",1,"Dg2",0,903471,361.3884
"462",2,"Dg2",0,44,0.0176
"463",3,"Dg2",0,48,0.0192
"464",1,"Dg3",0,391160,156.464
"465",2,"Dg3",0,136,0.0544
"466",3,"Dg3",0,1,4e-04
"467",4,"Dg3",0,17,0.0068
"468",6,"Dg3",0,8845,3.538
"469",1,"Dg4",0,267982,107.1928
"470",2,"Dg4",0,141,0.0564
"471",3,"Dg4",0,183,0.0732
"472",6,"Dg4",0,1193,0.4772
"473",1,"Dg5",0,1479774,591.9096
"474",2,"Dg5",0,157,0.0628
"475",3,"Dg5",0,237,0.0948
"476",4,"Dg5",0,485,0.194
"477",1,"Dg6",0,20267,8.1068
"478",2,"Dg6",0,17,0.0068
"479",4,"Dg6",0,275,0.11
"480",1,"Dg7",0,609437,243.7748
"481",2,"Dg7",0,731,0.2924
