"","T_MAPCODE","lc_1","lc_2","lc_3","lc_4","lc_5","lc_6","lc_7","lc_8","ext_tot","ext_rem","prc_inv","EOO","AOO","B1i_inv","B2i_inv","D1_inv","D3_inv"
"410","SVk17",3749.0196,821.194,18.402,470.4424,2158.6276,8.2376,6.9088,2.5524,7235.3844,3751.572,0,36872.44651,176,"LC","LC","LC","LC"
"411","SVk18",953.0492,25.3336,0.1524,11.174,3.3644,6.3328,0.1972,0,999.6036,953.0492,0,1312.457109,21,"LC","LC","LC","LC"
"412","SVk2",3225.5924,347.0108,6.392,33.184,569.5128,11.1568,11.874,1.83,4206.5528,3227.4224,0,17344.11899,94,"LC","LC","LC","LC"
"413","SVk3",576.2632,187.638,1.7488,17.4484,577.4428,2.8056,3.5856,0,1366.9324,576.2632,0,1700.845545,24,"LC","LC","LC","LC"
"414","SVk4",12450.1612,823.05,29.6436,190.0688,3062.29,48.8256,40.542,5.186,16649.7672,12455.3472,0,42742.66764,289,"LC","LC","LC","LC"
"415","SVk5",1418.1252,16.8372,3.2164,3.0416,12.0192,4.0516,0.376,0.2164,1457.8836,1418.3416,0,18756.64742,100,"LC","LC","LC","LC"
"416","SVk6",4219.6736,288.4944,35.0404,127.2604,616.5048,15.3664,10.808,0.7056,5313.8536,4220.3792,0,18032.2345,103,"LC","LC","LC","LC"
"417","SVk7",13110.9032,97.8516,14.83,69.3948,41.5,17.3972,6.9752,1.7316,13360.5836,13112.6348,0,16619.50565,178,"LC","LC","LC","LC"
"418","SVk8",3235.786,65.6516,4.4304,32.9844,20.2104,0.8776,3.5552,0.0124,3363.508,3235.7984,0,4434.208762,54,"LC","LC","LC","LC"
"419","SVk9",5503.8316,72.3692,1.3136,154.5744,3.6124,42.7688,0.7116,0.418,5779.5996,5504.2496,0,12050.6283,104,"LC","LC","LC","LC"
"420","SVkd1",36989.7872,26.5648,1.9416,16.2404,10.7404,6.5928,0.0708,14.9324,37066.8704,37004.7196,0,105628.5252,641,"LC","LC","LC","LC"
"421","SVkd2",2239.5116,1.806,0.016,1.0292,0,0.0108,0,0,2242.3736,2239.5116,0,17823.73221,64,"LC","LC","LC","LC"
"422","SVkd3",2898.1184,0.2644,0.0008,0.2164,0,0,0,0,2898.6,2898.1184,0,8222.225073,56,"LC","LC","LC","LC"
"423","SVkd4",762.2544,0.1196,0,0.0956,0,0,0,0,762.4696,762.2544,0,1946.198176,27,"LC","LC","LC","LC"
"424","SVl1",1554.754,255.972,2.9348,162.4688,88.2696,1.1476,0.6384,24.5056,2090.6908,1579.2596,2,11749.4717,55,"LC","LC","LC","LC"
"425","SVl10",608.9748,133.098,1.0852,124.1756,64.6896,1.2124,3.3264,6.2216,942.7836,615.1964,1,2079.966729,23,"LC","LC","LC","LC"
"426","SVl11",596.1784,7.152,0.1432,24.9712,1.7488,0.0116,0.0012,0.4088,630.6152,596.5872,0,1310.267225,18,"LC","LC","LC","LC"
"427","SVl12",355.7068,38.0252,0.6656,9.0816,31.6188,1.35,19.268,12.6788,468.3948,368.3856,3,1261.638471,18,"LC","LC","LC","LC"
"428","SVl13",70.3904,8.6136,0.1576,0.6848,9.3024,0.3992,17.8644,2.0708,109.4832,72.4612,3,4106.51579,19,"LC","LC","LC","LC"
"429","SVl14",3411.0428,152.9904,25.59,100.0412,751.2748,0.1064,9.6884,9.5784,4460.3124,3420.6212,0,17730.99517,118,"LC","LC","LC","LC"
"430","SVl15",1343.736,0.7772,0.7304,0.5388,0,0.0256,0,0,1345.808,1343.736,0,4904.974415,45,"LC","LC","LC","LC"
"431","SVl16",2239.71,105.0448,7.2924,113.3744,107.63,0.0064,0,12.1956,2585.2536,2251.9056,1,5667.109149,58,"LC","LC","LC","LC"
"432","SVl17",42.6524,17.1344,0.0808,55.4404,19.4224,0,0.012,0,134.7424,42.6524,0,2069.040193,14,"LC","LC","LC","LC"
"433","SVl18",864.822,82.858,1.8968,117.7284,41.7976,0.0196,15.0804,0.1912,1124.394,865.0132,0,2695.829502,33,"LC","LC","LC","LC"
"434","SVl19",80.6036,8.5528,0.2012,57.5248,5.844,0.0468,0,0.1724,152.9456,80.776,0,777.2303167,8,"LC","LC","LC","LC"
"435","SVl2",183.8284,0.0208,0.0016,0,0,0.0028,0,0,183.8536,183.8284,0,1350.443839,9,"LC","LC","LC","LC"
"436","SVl20",640.3728,294.8392,113.1516,230.7992,344.272,1.0104,12.4044,8.2752,1645.1248,648.648,1,5199.580571,48,"LC","LC","LC","LC"
"437","SVl21",266.8532,24.0604,2.1536,22.1276,18.1584,0.0004,0.0232,1.7176,335.0944,268.5708,1,4177.630137,30,"LC","LC","LC","LC"
"438","SVl22",3595.046,566.92,2.0936,384.414,441.1152,0.022,97.366,86.632,5173.6088,3681.678,2,14455.00773,124,"LC","LC","LC","LC"
"439","SVl23",5625.48,1086.0536,24.1688,595.4692,1140.3368,10.9604,3.4708,78.8204,8564.76,5704.3004,1,27037.38453,153,"LC","LC","LC","LC"
"440","SVl24",181.9752,165.5536,1.32,183.3092,155.9852,0.0504,6.1256,0.3048,694.624,182.28,0,922.5778268,16,"LC","LC","LC","LC"
"441","SVl25",465.9008,67.3404,0.5752,92.6892,18.4196,0.0112,8.6528,7.032,660.6212,472.9328,1,1975.171934,24,"LC","LC","LC","LC"
"442","SVl26",508.7988,43.1644,0.0104,91.8384,14.7612,0.0236,43.468,1.5452,703.61,510.344,0,1465.706484,21,"LC","LC","LC","LC"
"443","SVl27",410.0636,38.116,0.4976,49.1172,19.5336,0.08,5.8756,16.6244,539.908,426.688,4,926.8109621,14,"LC","LC","LC","LC"
